name,types,height,weight,stats,devis
Nidorina,Poison,"0,8 m, soit 2 pieds 7 pouces","20,0 kg, soit 44,1 livres","{'PV': 70, 'Attaque': 62, 'Défense': 67, 'Attaque Spéciale': 55, 'Défense Spéciale': 55, 'Vitesse': 56, 'Spécial': 55}",Superball
Nidoqueen,Poison-Sol,"1,3 m, soit 4 pieds 3 pouces","60,0 kg, soit 132,3 livres","{'PV': 90, 'Attaque': 92, 'Défense': 87, 'Attaque Spéciale': 75, 'Défense Spéciale': 85, 'Vitesse': 76}",Superball
Nidoran♂,Poison,"0,5 m, soit 1 pied 8 pouces","9,0 kg, soit 19,8 livres","{'PV': 46, 'Attaque': 57, 'Défense': 40, 'Attaque Spéciale': 40, 'Défense Spéciale': 40, 'Vitesse': 50, 'Spécial': 40}",Pokéball
Nidorino,Poison,"0,9 m, soit 2 pieds 11 pouces","19,5 kg, soit 43,0 livres","{'PV': 61, 'Attaque': 72, 'Défense': 57, 'Attaque Spéciale': 55, 'Défense Spéciale': 55, 'Vitesse': 65, 'Spécial': 55}",Superball
Nidoking,Poison-Sol,"1,4 m, soit 4 pieds 7 pouces","62,0 kg, soit 136,7 livres","{'PV': 81, 'Attaque': 102, 'Défense': 77, 'Attaque Spéciale': 85, 'Défense Spéciale': 75, 'Vitesse': 85}",Superball
Mélofée,Fée,"0,6 m, soit 2 pieds 0 pouce","7,5 kg, soit 16,5 livres","{'PV': 70, 'Attaque': 45, 'Défense': 48, 'Attaque Spéciale': 60, 'Défense Spéciale': 65, 'Vitesse': 35, 'Spécial': 60}",Superball
Mélodelfe,Fée,"1,3 m, soit 4 pieds 3 pouces","40,0 kg, soit 88,2 livres","{'PV': 95, 'Attaque': 70, 'Défense': 73, 'Attaque Spéciale': 95, 'Défense Spéciale': 90, 'Vitesse': 60}",Superball
Goupix,Feu,"0,6 m, soit 2 pieds 0 pouce","9,9 kg, soit 21,8 livres","{'PV': 38, 'Attaque': 41, 'Défense': 40, 'Attaque Spéciale': 50, 'Défense Spéciale': 65, 'Vitesse': 65, 'Spécial': 65}",Superball
Feunard,Feu,"1,1 m, soit 3 pieds 7 pouces","19,9 kg, soit 43,9 livres","{'PV': 73, 'Attaque': 76, 'Défense': 75, 'Attaque Spéciale': 81, 'Défense Spéciale': 100, 'Vitesse': 100, 'Spécial': 100}",Superball
Rondoudou,Normal-Fée,"0,5 m, soit 1 pied 8 pouces","5,5 kg, soit 12,1 livres","{'PV': 115, 'Attaque': 45, 'Défense': 20, 'Attaque Spéciale': 45, 'Défense Spéciale': 25, 'Vitesse': 20, 'Spécial': 25}",Pokéball
Grodoudou,Normal-Fée,"1,0 m, soit 3 pieds 3 pouces","12,0 kg, soit 26,5 livres","{'PV': 140, 'Attaque': 70, 'Défense': 45, 'Attaque Spéciale': 85, 'Défense Spéciale': 50, 'Vitesse': 45}",Superball
Nosferapti,Poison-Vol,"0,8 m, soit 2 pieds 7 pouces","7,5 kg, soit 16,5 livres","{'PV': 40, 'Attaque': 45, 'Défense': 35, 'Attaque Spéciale': 30, 'Défense Spéciale': 40, 'Vitesse': 55, 'Spécial': 40}",Pokéball
Nosferalto,Poison-Vol,"1,6 m, soit 5 pieds 3 pouces","55,0 kg, soit 121,3 livres","{'PV': 75, 'Attaque': 80, 'Défense': 70, 'Attaque Spéciale': 65, 'Défense Spéciale': 75, 'Vitesse': 90, 'Spécial': 75}",Superball
Mystherbe,Plante-Poison,"0,5 m, soit 1 pied 8 pouces","5,4 kg, soit 11,9 livres","{'PV': 45, 'Attaque': 50, 'Défense': 55, 'Attaque Spéciale': 75, 'Défense Spéciale': 65, 'Vitesse': 30, 'Spécial': 75}",Superball
Ortide,Plante-Poison,"0,8 m, soit 2 pieds 7 pouces","8,6 kg, soit 19,0 livres","{'PV': 60, 'Attaque': 65, 'Défense': 70, 'Attaque Spéciale': 85, 'Défense Spéciale': 75, 'Vitesse': 40, 'Spécial': 85}",Superball
Rafflesia,Plante-Poison,"1,2 m, soit 3 pieds 11 pouces","18,6 kg, soit 41,0 livres","{'PV': 75, 'Attaque': 80, 'Défense': 85, 'Attaque Spéciale': 110, 'Défense Spéciale': 90, 'Vitesse': 50}",Superball
Paras,Insecte-Plante,"0,3 m, soit 1 pied 0 pouce","5,4 kg, soit 11,9 livres","{'PV': 35, 'Attaque': 70, 'Défense': 55, 'Attaque Spéciale': 45, 'Défense Spéciale': 55, 'Vitesse': 25, 'Spécial': 55}",Pokéball
Parasect,Insecte-Plante,"1,0 m, soit 3 pieds 3 pouces","29,5 kg, soit 65,0 livres","{'PV': 60, 'Attaque': 95, 'Défense': 80, 'Attaque Spéciale': 60, 'Défense Spéciale': 80, 'Vitesse': 30, 'Spécial': 80}",Superball
Mimitoss,Insecte-Poison,"1,0 m, soit 3 pieds 3 pouces","30,0 kg, soit 66,1 livres","{'PV': 60, 'Attaque': 55, 'Défense': 50, 'Attaque Spéciale': 40, 'Défense Spéciale': 55, 'Vitesse': 45, 'Spécial': 40}",Pokéball
Aéromite,Insecte-Poison,"1,5 m, soit 4 pieds 11 pouces","12,5 kg, soit 27,6 livres","{'PV': 70, 'Attaque': 65, 'Défense': 60, 'Attaque Spéciale': 90, 'Défense Spéciale': 75, 'Vitesse': 90, 'Spécial': 90}",Superball
Taupiqueur,Sol,"0,2 m, soit 0 pied 8 pouces","0,8 kg, soit 1,8 livres","{'PV': 10, 'Attaque': 55, 'Défense': 25, 'Attaque Spéciale': 35, 'Défense Spéciale': 45, 'Vitesse': 95, 'Spécial': 45}",Pokéball
Triopikeur,Sol,"0,7 m, soit 2 pieds 4 pouces","33,3 kg, soit 73,4 livres","{'PV': 35, 'Attaque': 100, 'Défense': 50, 'Attaque Spéciale': 50, 'Défense Spéciale': 70, 'Vitesse': 120}",Superball
Miaouss,Normal,"0,4 m, soit 1 pied 4 pouces","4,2 kg, soit 9,3 livres","{'PV': 40, 'Attaque': 45, 'Défense': 35, 'Attaque Spéciale': 40, 'Défense Spéciale': 40, 'Vitesse': 90, 'Spécial': 40}",Pokéball
Persian,Normal,"1,0 m, soit 3 pieds 3 pouces","32,0 kg, soit 70,5 livres","{'PV': 65, 'Attaque': 70, 'Défense': 60, 'Attaque Spéciale': 65, 'Défense Spéciale': 65, 'Vitesse': 115, 'Spécial': 65}",Superball
Psykokwak,Eau,"0,8 m, soit 2 pieds 7 pouces","19,6 kg, soit 43,2 livres","{'PV': 50, 'Attaque': 52, 'Défense': 48, 'Attaque Spéciale': 65, 'Défense Spéciale': 50, 'Vitesse': 55, 'Spécial': 50}",Superball
Akwakwak,Eau,"1,7 m, soit 5 pieds 7 pouces","76,6 kg, soit 168,9 livres","{'PV': 80, 'Attaque': 82, 'Défense': 78, 'Attaque Spéciale': 95, 'Défense Spéciale': 80, 'Vitesse': 85, 'Spécial': 80}",Superball
Férosinge,Combat,"0,5 m, soit 1 pied 8 pouces","28,0 kg, soit 61,7 livres","{'PV': 40, 'Attaque': 80, 'Défense': 35, 'Attaque Spéciale': 35, 'Défense Spéciale': 45, 'Vitesse': 70, 'Spécial': 35}",Pokéball
Colossinge,Combat,"1,0 m, soit 3 pieds 3 pouces","32,0 kg, soit 70,5 livres","{'PV': 65, 'Attaque': 105, 'Défense': 60, 'Attaque Spéciale': 60, 'Défense Spéciale': 70, 'Vitesse': 95, 'Spécial': 60}",Superball
Caninos,Feu,"0,7 m, soit 2 pieds 4 pouces","19,0 kg, soit 41,9 livres","{'PV': 55, 'Attaque': 70, 'Défense': 45, 'Attaque Spéciale': 70, 'Défense Spéciale': 50, 'Vitesse': 60, 'Spécial': 50}",Superball
Arcanin,Feu,"1,9 m, soit 6 pieds 3 pouces","155,0 kg, soit 341,7 livres","{'PV': 90, 'Attaque': 110, 'Défense': 80, 'Attaque Spéciale': 100, 'Défense Spéciale': 80, 'Vitesse': 95, 'Spécial': 80}",Superball
Ptitard,Eau,"0,6 m, soit 2 pieds 0 pouce","12,4 kg, soit 27,3 livres","{'PV': 40, 'Attaque': 50, 'Défense': 40, 'Attaque Spéciale': 40, 'Défense Spéciale': 40, 'Vitesse': 90, 'Spécial': 40}",Pokéball
Têtarte,Eau,"1,0 m, soit 3 pieds 3 pouces","20,0 kg, soit 44,1 livres","{'PV': 65, 'Attaque': 65, 'Défense': 65, 'Attaque Spéciale': 50, 'Défense Spéciale': 50, 'Vitesse': 90, 'Spécial': 50}",Superball
Tartard,Eau-Combat,"1,3 m, soit 4 pieds 3 pouces","54,0 kg, soit 119,0 livres","{'PV': 90, 'Attaque': 95, 'Défense': 95, 'Attaque Spéciale': 70, 'Défense Spéciale': 90, 'Vitesse': 70}",Superball
Abra,Psy,"0,9 m, soit 2 pieds 11 pouces","19,5 kg, soit 43,0 livres","{'PV': 25, 'Attaque': 20, 'Défense': 15, 'Attaque Spéciale': 105, 'Défense Spéciale': 55, 'Vitesse': 90, 'Spécial': 105}",Superball
Kadabra,Psy,"1,3 m, soit 4 pieds 3 pouces","56,5 kg, soit 124,6 livres","{'PV': 40, 'Attaque': 35, 'Défense': 30, 'Attaque Spéciale': 120, 'Défense Spéciale': 70, 'Vitesse': 105, 'Spécial': 120}",Superball
Alakazam,Psy,"1,5 m, soit 4 pieds 11 pouces","48,0 kg, soit 105,8 livres","{'PV': 55, 'Attaque': 50, 'Défense': 45, 'Attaque Spéciale': 135, 'Défense Spéciale': 95, 'Vitesse': 120}",Superball
Machoc,Combat,"0,8 m, soit 2 pieds 7 pouces","19,5 kg, soit 43,0 livres","{'PV': 70, 'Attaque': 80, 'Défense': 50, 'Attaque Spéciale': 35, 'Défense Spéciale': 35, 'Vitesse': 35, 'Spécial': 35}",Pokéball
Machopeur,Combat,"1,5 m, soit 4 pieds 11 pouces","70,5 kg, soit 155,4 livres","{'PV': 80, 'Attaque': 100, 'Défense': 70, 'Attaque Spéciale': 50, 'Défense Spéciale': 60, 'Vitesse': 45, 'Spécial': 50}",Superball
Mackogneur,Combat,"1,6 m, soit 5 pieds 3 pouces","130,0 kg, soit 286,6 livres","{'PV': 90, 'Attaque': 130, 'Défense': 80, 'Attaque Spéciale': 65, 'Défense Spéciale': 85, 'Vitesse': 55, 'Spécial': 65}",Superball
Chétiflor,Plante-Poison,"0,7 m, soit 2 pieds 4 pouces","4,0 kg, soit 8,8 livres","{'PV': 50, 'Attaque': 75, 'Défense': 35, 'Attaque Spéciale': 70, 'Défense Spéciale': 30, 'Vitesse': 40, 'Spécial': 70}",Superball
Boustiflor,Plante-Poison,"1,0 m, soit 3 pieds 3 pouces","6,4 kg, soit 14,1 livres","{'PV': 65, 'Attaque': 90, 'Défense': 50, 'Attaque Spéciale': 85, 'Défense Spéciale': 45, 'Vitesse': 55, 'Spécial': 85}",Superball
Empiflor,Plante-Poison,"1,7 m, soit 5 pieds 7 pouces","15,5 kg, soit 34,2 livres","{'PV': 80, 'Attaque': 105, 'Défense': 65, 'Attaque Spéciale': 100, 'Défense Spéciale': 70, 'Vitesse': 70}",Superball
Tentacool,Eau-Poison,"0,9 m, soit 2 pieds 11 pouces","45,5 kg, soit 100,3 livres","{'PV': 40, 'Attaque': 40, 'Défense': 35, 'Attaque Spéciale': 50, 'Défense Spéciale': 100, 'Vitesse': 70, 'Spécial': 100}",Superball
Tentacruel,Eau-Poison,"1,6 m, soit 5 pieds 3 pouces","55,0 kg, soit 121,3 livres","{'PV': 80, 'Attaque': 70, 'Défense': 65, 'Attaque Spéciale': 80, 'Défense Spéciale': 120, 'Vitesse': 100, 'Spécial': 120}",Superball
Racaillou,Roche-Sol,"0,4 m, soit 1 pied 4 pouces","20,0 kg, soit 44,1 livres","{'PV': 40, 'Attaque': 80, 'Défense': 100, 'Attaque Spéciale': 30, 'Défense Spéciale': 30, 'Vitesse': 20, 'Spécial': 30}",Pokéball
Gravalanch,Roche-Sol,"1,0 m, soit 3 pieds 3 pouces","105,0 kg, soit 231,5 livres","{'PV': 55, 'Attaque': 95, 'Défense': 115, 'Attaque Spéciale': 45, 'Défense Spéciale': 45, 'Vitesse': 35, 'Spécial': 45}",Superball
Grolem,Roche-Sol,"1,4 m, soit 4 pieds 7 pouces","300,0 kg, soit 661,4 livres","{'PV': 80, 'Attaque': 120, 'Défense': 130, 'Attaque Spéciale': 55, 'Défense Spéciale': 65, 'Vitesse': 45}",Superball
Ponyta,Feu,"1,0 m, soit 3 pieds 3 pouces","30,0 kg, soit 66,1 livres","{'PV': 50, 'Attaque': 85, 'Défense': 55, 'Attaque Spéciale': 65, 'Défense Spéciale': 65, 'Vitesse': 90, 'Spécial': 65}",Superball
Galopa,Feu,"1,7 m, soit 5 pieds 7 pouces","95,0 kg, soit 209,4 livres","{'PV': 65, 'Attaque': 100, 'Défense': 70, 'Attaque Spéciale': 80, 'Défense Spéciale': 80, 'Vitesse': 105, 'Spécial': 80}",Superball
Ramoloss,Eau-Psy,"1,2 m, soit 3 pieds 11 pouces","36,0 kg, soit 79,4 livres","{'PV': 90, 'Attaque': 65, 'Défense': 65, 'Attaque Spéciale': 40, 'Défense Spéciale': 40, 'Vitesse': 15, 'Spécial': 40}",Superball
Flagadoss,Eau-Psy,"1,6 m, soit 5 pieds 3 pouces","78,5 kg, soit 173,1 livres","{'PV': 95, 'Attaque': 75, 'Défense': 110, 'Attaque Spéciale': 100, 'Défense Spéciale': 80, 'Vitesse': 30, 'Spécial': 80}",Superball
Magnéti,Électrik-Acier,"0,3 m, soit 1 pied 0 pouce","6,0 kg, soit 13,2 livres","{'PV': 25, 'Attaque': 35, 'Défense': 70, 'Attaque Spéciale': 95, 'Défense Spéciale': 55, 'Vitesse': 45, 'Spécial': 95}",Superball
Magnéton,Électrik-Acier,"1,0 m, soit 3 pieds 3 pouces","60,0 kg, soit 132,3 livres","{'PV': 50, 'Attaque': 60, 'Défense': 95, 'Attaque Spéciale': 120, 'Défense Spéciale': 70, 'Vitesse': 70, 'Spécial': 120}",Superball
Canarticho,Normal-Vol,"0,8 m, soit 2 pieds 7 pouces","15,0 kg, soit 33,1 livres","{'PV': 52, 'Attaque': 90, 'Défense': 55, 'Attaque Spéciale': 58, 'Défense Spéciale': 62, 'Vitesse': 60}",Superball
Doduo,Normal-Vol,"1,4 m, soit 4 pieds 7 pouces","39,2 kg, soit 86,4 livres","{'PV': 35, 'Attaque': 85, 'Défense': 45, 'Attaque Spéciale': 35, 'Défense Spéciale': 35, 'Vitesse': 75, 'Spécial': 35}",Pokéball
Dodrio,Normal-Vol,"1,8 m, soit 5 pieds 11 pouces","85,2 kg, soit 187,8 livres","{'PV': 60, 'Attaque': 110, 'Défense': 70, 'Attaque Spéciale': 60, 'Défense Spéciale': 60, 'Vitesse': 110}",Superball
Otaria,Eau,"1,1 m, soit 3 pieds 7 pouces","90,0 kg, soit 198,4 livres","{'PV': 65, 'Attaque': 45, 'Défense': 55, 'Attaque Spéciale': 45, 'Défense Spéciale': 70, 'Vitesse': 45, 'Spécial': 70}",Superball
Lamantine,Eau-Glace,"1,7 m, soit 5 pieds 7 pouces","120,0 kg, soit 264,6 livres","{'PV': 90, 'Attaque': 70, 'Défense': 80, 'Attaque Spéciale': 70, 'Défense Spéciale': 95, 'Vitesse': 70, 'Spécial': 95}",Superball
Tadmorv,Poison,"0,9 m, soit 2 pieds 11 pouces","30,0 kg, soit 66,1 livres","{'PV': 80, 'Attaque': 80, 'Défense': 50, 'Attaque Spéciale': 40, 'Défense Spéciale': 50, 'Vitesse': 25, 'Spécial': 40}",Superball
Grotadmorv,Poison,"1,2 m, soit 3 pieds 11 pouces","30,0 kg, soit 66,1 livres","{'PV': 105, 'Attaque': 105, 'Défense': 75, 'Attaque Spéciale': 65, 'Défense Spéciale': 100, 'Vitesse': 50, 'Spécial': 65}",Superball
Kokiyas,Eau,"0,3 m, soit 1 pied 0 pouce","4,0 kg, soit 8,8 livres","{'PV': 30, 'Attaque': 65, 'Défense': 100, 'Attaque Spéciale': 45, 'Défense Spéciale': 25, 'Vitesse': 40, 'Spécial': 45}",Pokéball
Crustabri,Eau-Glace,"1,5 m, soit 4 pieds 11 pouces","132,5 kg, soit 292,1 livres","{'PV': 50, 'Attaque': 95, 'Défense': 180, 'Attaque Spéciale': 85, 'Défense Spéciale': 45, 'Vitesse': 70, 'Spécial': 85}",Superball
Fantominus,Spectre-Poison,"1,3 m, soit 4 pieds 3 pouces","0,1 kg, soit 0,2 livre","{'PV': 30, 'Attaque': 35, 'Défense': 30, 'Attaque Spéciale': 100, 'Défense Spéciale': 35, 'Vitesse': 80, 'Spécial': 100}",Superball
Spectrum,Spectre-Poison,"1,6 m, soit 5 pieds 3 pouces","0,1 kg, soit 0,2 livre","{'PV': 45, 'Attaque': 50, 'Défense': 45, 'Attaque Spéciale': 115, 'Défense Spéciale': 55, 'Vitesse': 95, 'Spécial': 115}",Superball
Ectoplasma,Spectre-Poison,"1,5 m, soit 4 pieds 11 pouces","40,5 kg, soit 89,3 livres","{'PV': 60, 'Attaque': 65, 'Défense': 60, 'Attaque Spéciale': 130, 'Défense Spéciale': 75, 'Vitesse': 110, 'Spécial': 130}",Superball
Onix,Roche-Sol,"8,8 m, soit 28 pieds 10 pouces","210,0 kg, soit 463,0 livres","{'PV': 35, 'Attaque': 45, 'Défense': 160, 'Attaque Spéciale': 30, 'Défense Spéciale': 45, 'Vitesse': 70, 'Spécial': 30}",Superball
Soporifik,Psy,"1,0 m, soit 3 pieds 3 pouces","32,4 kg, soit 71,4 livres","{'PV': 60, 'Attaque': 48, 'Défense': 45, 'Attaque Spéciale': 43, 'Défense Spéciale': 90, 'Vitesse': 42, 'Spécial': 90}",Superball
Hypnomade,Psy,"1,6 m, soit 5 pieds 3 pouces","75,6 kg, soit 166,7 livres","{'PV': 85, 'Attaque': 73, 'Défense': 70, 'Attaque Spéciale': 73, 'Défense Spéciale': 115, 'Vitesse': 67, 'Spécial': 115}",Superball
Krabby,Eau,"0,4 m, soit 1 pied 4 pouces","6,5 kg, soit 14,3 livres","{'PV': 30, 'Attaque': 105, 'Défense': 90, 'Attaque Spéciale': 25, 'Défense Spéciale': 25, 'Vitesse': 50, 'Spécial': 25}",Pokéball
Krabboss,Eau,"1,3 m, soit 4 pieds 3 pouces","60,0 kg, soit 132,3 livres","{'PV': 55, 'Attaque': 130, 'Défense': 115, 'Attaque Spéciale': 50, 'Défense Spéciale': 50, 'Vitesse': 75, 'Spécial': 50}",Superball
Voltorbe,Électrik,"0,5 m, soit 1 pied 8 pouces","10,4 kg, soit 22,9 livres","{'PV': 40, 'Attaque': 30, 'Défense': 50, 'Attaque Spéciale': 55, 'Défense Spéciale': 55, 'Vitesse': 100, 'Spécial': 55}",Superball
Électrode,Électrik,"1,2 m, soit 3 pieds 11 pouces","66,6 kg, soit 146,8 livres","{'PV': 60, 'Attaque': 50, 'Défense': 70, 'Attaque Spéciale': 80, 'Défense Spéciale': 80, 'Vitesse': 150}",Superball
Noeunoeuf,Plante-Psy,"0,4 m, soit 1 pied 4 pouces","2,5 kg, soit 5,5 livres","{'PV': 60, 'Attaque': 40, 'Défense': 80, 'Attaque Spéciale': 60, 'Défense Spéciale': 45, 'Vitesse': 40, 'Spécial': 60}",Superball
Noadkoko,Plante-Psy,"2,0 m, soit 6 pieds 7 pouces","120,0 kg, soit 264,6 livres","{'PV': 95, 'Attaque': 95, 'Défense': 85, 'Attaque Spéciale': 125, 'Défense Spéciale': 75, 'Vitesse': 55}",Superball
Osselait,Sol,"0,4 m, soit 1 pied 4 pouces","6,5 kg, soit 14,3 livres","{'PV': 50, 'Attaque': 50, 'Défense': 95, 'Attaque Spéciale': 40, 'Défense Spéciale': 50, 'Vitesse': 35, 'Spécial': 40}",Superball
Ossatueur,Sol,"1,0 m, soit 3 pieds 3 pouces","45,0 kg, soit 99,2 livres","{'PV': 60, 'Attaque': 80, 'Défense': 110, 'Attaque Spéciale': 50, 'Défense Spéciale': 80, 'Vitesse': 45, 'Spécial': 50}",Superball
Kicklee,Combat,"1,5 m, soit 4 pieds 11 pouces","49,8 kg, soit 109,8 livres","{'PV': 50, 'Attaque': 120, 'Défense': 53, 'Attaque Spéciale': 35, 'Défense Spéciale': 110, 'Vitesse': 87, 'Spécial': 35}",Superball
